Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Afghanistan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,39.43442181038985,34.28350383503938,44.35944018294398
Angola,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,27.872201204182183,20.767510861076765,34.255513524896635
Albania,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,47.75599681459479,42.91136018977837,52.68560350111275
Andorra,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,58.66726408256147,55.22721608340731,61.78074562454664
United Arab Emirates,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,53.21845094759414,49.07999159619118,58.09737891489305
Argentina,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.65613200956503,46.6419879559349,56.639939991206454
Armenia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,33.081416221269585,27.67035447541345,38.33336705238185
American Samoa,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.80214132462001,32.517989704288134,42.65799574272925
Antigua and Barbuda,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,40.86639794167724,36.09925348675806,45.42000405822298
Australia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,54.75275895052296,50.803818904582,58.62669660432866
Austria,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,58.74470574402058,55.683317835688115,61.77751010669208
Azerbaijan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.10699744223868,32.71693846670522,41.60927172154902
Burundi,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,21.78226225268702,17.566199696390765,26.559473074449635
Belgium,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,39.26982514427684,34.537936400859614,44.449154796326276
Benin,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,29.209116643165917,24.199314692150864,35.070240558266406
Burkina Faso,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,10.500177973621652,7.506161248049749,13.99734505781253
Bangladesh,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,26.427496846617153,21.640465248341112,30.9825275160797
Bulgaria,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,47.46926970461388,42.00595858457082,51.88815608437083
Bahrain,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,46.76351206206096,40.185981806910505,52.02099852392864
Bahamas,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.63129682572642,39.15141237780272,48.30306375154556
Bosnia and Herzegovina,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,51.31504125877926,43.257586705072335,57.10459051607914
Belarus,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,38.91336360878188,34.59284068725664,43.26282173267691
Belize,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,42.860667204523786,37.98492156699807,47.82101283347275
Bermuda,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.18925087454235,41.38777658223929,49.214650949419855
Bolivia (Plurinational State of),2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.180622749434974,36.65312738154795,45.789095495134276
Brazil,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,55.08232980814503,50.96386634872662,59.270004314286155
Barbados,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.744376932289526,38.3456994222108,48.988054512003714
