Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Afghanistan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",594.4010716404866,275.4045399567612,1003.1868251902741
Angola,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",577.6720020260258,368.24936469974426,839.3574968734313
Albania,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",526.3837950412016,301.27352938889516,905.1692514029515
Andorra,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",731.3270997754487,506.8098640056525,1011.5763619044569
United Arab Emirates,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1331.9582457275626,908.354340370972,1987.4442593160027
Argentina,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",547.761742258298,439.70749019020866,666.4677773794697
Armenia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",700.228566485401,426.04137944871786,1039.4079808067572
American Samoa,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",409.67954518599623,284.4177657528177,591.0697404179543
Antigua and Barbuda,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2082.4221802953707,1484.4021292976993,2864.0098737691906
Australia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",119.7743936122489,90.66511167343222,155.84616648500713
Austria,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",656.3069877660735,503.8018131908741,820.7267980926335
Azerbaijan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",823.5687388793799,456.3254756189208,1312.1367384154937
Burundi,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",303.95126515929627,153.96104661807962,453.8556328117835
Belgium,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",116.1453055565898,87.5797397356032,146.02247269498883
Benin,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",242.6469910531386,141.5351804536888,365.1349171441576
Burkina Faso,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",327.8539893252318,172.92795248557522,520.7837524785351
Bangladesh,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",581.7898973096002,320.6067861535495,1171.1114541339289
Bulgaria,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",5342.584500276551,3756.7910337542253,7134.061772723642
Bahrain,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",638.3485207946118,412.66446812206544,995.685065824415
Bahamas,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2940.2495081284355,1985.8508650577617,4178.8307395511265
Bosnia and Herzegovina,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",911.3208155515581,497.6538274039917,1612.412776270222
Belarus,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",69.67861728457547,44.660119528312556,110.15594773462196
Belize,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",728.8865923546031,503.8558723832234,1039.1203348156657
Bermuda,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",713.4277462820966,478.0149166777534,985.3878212724768
Bolivia (Plurinational State of),2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",340.56416179012473,183.61767900046496,526.7957582170261
Brazil,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",540.0855671395074,360.731984200174,753.7149585705422
Barbados,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",958.6999939666672,665.6337790560425,1360.301318223113
Brunei Darussalam,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",527.5981046201999,387.989075410248,721.9319029306645
Bhutan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",471.35597296097797,273.3000099155437,722.7099881203849
Botswana,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1072.7242947841792,757.8871632258241,1519.6254376907589
Central African Republic,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",792.6237713074363,326.1284029880886,1338.069092892392
Canada,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",172.3516005153414,139.03241849169262,212.35022361814924
Switzerland,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",605.1038709664789,462.0761303110058,739.4538920059684
Chile,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",579.3829113925655,454.3714580447906,702.2504328236597
