Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Afghanistan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1958.28697952878,1092.4426012923445,3230.012304434021
Angola,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",639.0515712870059,434.04605645844936,946.3932456327711
Albania,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4035.387397297604,2849.634511697489,5608.282009050378
Andorra,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1796.979899662223,1251.5131575522275,2447.17699123442
United Arab Emirates,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2716.9059755731787,1775.4521636436943,4072.0265399420655
Argentina,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1223.9975883546047,920.6234253358576,1566.6425529501976
Armenia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",5110.752124086167,3369.6806444006857,7465.495032890571
American Samoa,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2686.5805764121283,1862.150072661412,3849.5339341165295
Antigua and Barbuda,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1537.2130258867514,997.5430984062044,2329.420349559448
Australia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1000.4136899683432,785.083608395777,1285.1148965396194
Austria,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1843.1329034610692,1410.7064411690778,2287.8656982861344
Azerbaijan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",6226.978309205271,4141.153338923096,8837.78763285341
Burundi,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",844.8786724873228,531.4527581436806,1289.9506392864307
Belgium,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",920.5712060335591,710.5959821212454,1149.941880748647
Benin,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",462.0319685650995,307.28400941144463,683.8389797094844
Burkina Faso,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",511.5656767709174,330.22764083995634,787.6145599474916
Bangladesh,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2104.2410053552576,1254.4389511519498,3594.3615339248004
Bulgaria,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4813.8390796351705,3557.943038089627,6233.562774120282
Bahrain,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1842.0202499635336,1214.1436952766323,2772.4961528692115
Bahamas,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1760.715696414661,1117.4806814742865,2663.100770461794
Bosnia and Herzegovina,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4345.370802450546,2818.9603336057125,6457.397545870132
Belarus,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",8495.971003691446,5822.309828757,12132.24874816946
Belize,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1163.9328861616366,727.082116632751,1784.4214372167708
Bermuda,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2626.1745453177286,1744.707678453889,3966.3926653507306
Bolivia (Plurinational State of),2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1215.2563541762927,703.6433471053695,2039.2126785313824
Brazil,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1521.510412237871,923.0474574689052,2388.758365672018
Barbados,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1828.8913852689059,1198.0436197323763,2791.1617418478786
Brunei Darussalam,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1612.7474289423076,1151.2326685353196,2271.799121100232
Bhutan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1969.0376706825525,1101.9409520256731,3339.2174408134892
Botswana,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1024.072402426625,698.1551351853581,1394.0732825212326
Central African Republic,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1445.9830397551948,830.0552805686243,2354.0226900428315
Canada,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1264.6094572977504,982.7880249102918,1576.5010947276694
Switzerland,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1158.287056246269,925.5290498918225,1409.9182112811504
Chile,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",856.4532981440757,682.0469639274401,1067.8547340135085
Côte d'Ivoire,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",882.6576026047918,583.5307775269117,1346.9857763594075
Cameroon,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",832.8854109392358,530.0111303527866,1238.170449003517
Democratic Republic of the Congo,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",850.6795310719241,541.3383927551087,1345.857325695026
Congo,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1597.7307769118622,1050.5408324917896,2448.7202854779566
Cook Islands,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2091.3255791287447,1474.2185308375817,2873.6291837950116
Colombia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1916.2547701843496,1246.6235939468029,2831.087208543708
Comoros,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1078.437741300506,683.5109234360991,1665.4932070565605
Cabo Verde,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2024.4194113975077,1431.563977496382,2856.28995563987
Costa Rica,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1353.683095540257,911.6565031662934,1976.1123107145165
Cuba,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3626.0669744526,2405.8424659366005,5284.198702310633
Cyprus,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1552.9363888133278,1160.431562044217,2077.484116035913
Czechia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3442.938355584769,2549.3910013516215,4551.374789085698
